id,name,datetime,department_id,job_id,error
2,Ty Hofer,2021-05-30T05:43:46Z,8.0,,Null value in column 'job_id'
67,Thia Morican,2021-03-10T19:27:10Z,,104.0,Null value in column 'department_id'
84,Ludvig Norwood,2021-02-26T18:47:53Z,3.0,,Null value in column 'job_id'
87,Cirstoforo Martinetto,2021-10-15T09:19:20Z,,84.0,Null value in column 'department_id'
97,Beltran Natte,2021-11-01T05:12:01Z,,67.0,Null value in column 'department_id'
133,Jennine Wapol,2022-01-24T14:45:57Z,,49.0,Null value in column 'department_id'
157,Kellia Barribal,,4.0,61.0,Null value in column 'datetime'
162,,2021-04-22T14:31:39Z,4.0,91.0,Null value in column 'name'
198,Carline Fryman,2021-05-29T00:23:02Z,5.0,,Null value in column 'job_id'
207,Ahmad Fader,2021-05-03T04:57:25Z,,66.0,Null value in column 'department_id'
216,Theobald Tzarkov,2022-01-26T14:56:48Z,,87.0,Null value in column 'department_id'
340,,2022-01-13T21:09:49Z,4.0,45.0,Null value in column 'name'
350,,2021-07-13T23:34:40Z,10.0,86.0,Null value in column 'name'
393,Bogey Hanwell,2022-01-05T17:29:34Z,6.0,,Null value in column 'job_id'
533,Tiertza Vanyashin,2022-02-04T20:16:06Z,3.0,,Null value in column 'job_id'
571,,2021-11-28T02:28:40Z,7.0,69.0,Null value in column 'name'
623,,2022-01-04T17:42:48Z,7.0,48.0,Null value in column 'name'
663,Catha Gowrie,,4.0,85.0,Null value in column 'datetime'
685,Bruno Pales,2022-01-16T19:23:39Z,,92.0,Null value in column 'department_id'
758,Dyanne Rainy,2021-06-11T00:56:42Z,8.0,,Null value in column 'job_id'
766,,2021-05-31T05:31:53Z,2.0,67.0,Null value in column 'name'
773,,2021-11-16T02:34:50Z,5.0,35.0,Null value in column 'name'
789,Jennine Fakeley,,2.0,94.0,Null value in column 'datetime'
792,Hetty Cawthery,2022-01-21T11:08:04Z,10.0,,Null value in column 'job_id'
824,Kaitlynn Rannald,2021-04-18T15:11:19Z,,64.0,Null value in column 'department_id'
831,,2021-10-22T16:30:46Z,6.0,11.0,Null value in column 'name'
832,Letta Paull,2021-10-29T02:35:02Z,,122.0,Null value in column 'department_id'
932,Celeste Stops,2021-02-07T22:14:01Z,8.0,,Null value in column 'job_id'
937,,2021-03-26T20:41:40Z,3.0,60.0,Null value in column 'name'
942,Joaquin Kamenar,2021-11-29T11:54:05Z,,64.0,Null value in column 'department_id'
955,Shena Gore,2021-08-16T21:25:08Z,9.0,,Null value in column 'job_id'
961,Lionello Andriesse,2022-02-12T05:19:44Z,8.0,,Null value in column 'job_id'
970,,2021-08-08T06:06:40Z,4.0,33.0,Null value in column 'name'
1049,,2021-05-08T23:05:13Z,6.0,91.0,Null value in column 'name'
1092,Floria Bineham,,7.0,137.0,Null value in column 'datetime'
1095,Lowell Blaber,,9.0,141.0,Null value in column 'datetime'
1098,Colman Bleesing,2021-10-12T17:55:32Z,,77.0,Null value in column 'department_id'
1110,Renee Bowe,2021-08-31T20:26:32Z,,112.0,Null value in column 'department_id'
1130,,2021-10-19T08:43:38Z,1.0,128.0,Null value in column 'name'
1170,,2021-03-15T10:47:48Z,7.0,130.0,Null value in column 'name'
1195,,2021-08-13T09:22:18Z,10.0,54.0,Null value in column 'name'
1252,Merrily Di Biaggi,,7.0,19.0,Null value in column 'datetime'
1279,Phaidra Dubbin,2021-10-25T12:19:32Z,,38.0,Null value in column 'department_id'
1304,Tildie Elby,2021-09-29T14:02:27Z,8.0,,Null value in column 'job_id'
1322,,2021-03-26T23:44:34Z,5.0,47.0,Null value in column 'name'
1323,Erv Fazan,,8.0,34.0,Null value in column 'datetime'
1413,Berna Grigorkin,2021-08-02T13:21:07Z,,103.0,Null value in column 'department_id'
1423,Rozelle Hadleigh,2021-08-08T01:23:27Z,,108.0,Null value in column 'department_id'
1432,Jerrine Hammerson,2022-01-20T22:47:27Z,,98.0,Null value in column 'department_id'
1463,Shell Houdhury,2022-01-04T17:20:18Z,,50.0,Null value in column 'department_id'
1467,Sully Huc,,8.0,148.0,Null value in column 'datetime'
1474,Calhoun Iacovolo,2021-03-06T03:02:20Z,7.0,,Null value in column 'job_id'
1483,Paco Ivain,,5.0,41.0,Null value in column 'datetime'
1493,,2021-03-20T10:48:47Z,10.0,153.0,Null value in column 'name'
1523,Darelle Kenaway,2021-05-08T10:51:07Z,7.0,,Null value in column 'job_id'
1561,Saxon Lehmann,2021-10-28T18:29:31Z,3.0,,Null value in column 'job_id'
1589,Emmeline MacGrath,2021-12-12T04:57:39Z,11.0,,Null value in column 'job_id'
1590,Niven Mackrell,2021-05-17T07:18:48Z,,85.0,Null value in column 'department_id'
1613,Sigrid Matysik,2022-02-15T21:20:01Z,,143.0,Null value in column 'department_id'
1686,Bessy Oakeby,,4.0,53.0,Null value in column 'datetime'
1688,,2022-01-20T19:51:12Z,11.0,100.0,Null value in column 'name'
1714,Mala Pales,2021-05-04T04:52:48Z,,70.0,Null value in column 'department_id'
1780,Annabelle Reilly,,6.0,46.0,Null value in column 'datetime'
1799,,2021-03-10T07:35:09Z,8.0,111.0,Null value in column 'name'
1814,Theodore Sammut,,6.0,86.0,Null value in column 'datetime'
1858,,2021-06-28T03:01:01Z,6.0,144.0,Null value in column 'name'
1860,Marin Slipper,2022-02-08T10:39:02Z,4.0,,Null value in column 'job_id'
1869,Cesaro Solomon,,6.0,66.0,Null value in column 'datetime'
1925,Cary Tothe,,3.0,104.0,Null value in column 'datetime'
1987,Shaina Wyldish,2021-12-13T10:05:09Z,,102.0,Null value in column 'department_id'
